Station,Trafic,Année,Trafic_Année_Précedente,Réseau_Métro,Réseau_RER
OPERA,12269711,2013,4779337.536585365,1,0
NATION,9541406,2013,4779337.536585365,1,0
PALAIS-ROYAL,9385220,2013,4779337.536585365,1,0
GRANDS BOULEVARDS,7092775,2013,4779337.536585365,1,0
MAIRIE DE CLICHY,6987958,2013,4779337.536585365,1,0
SAINT-GERMAIN DES PRES,4498265,2013,4779337.536585365,1,0
ANATOLE FRANCE,3866326,2013,4779337.536585365,1,0
CADET,3612956,2013,4779337.536585365,1,0
GAITE,3165824,2013,4779337.536585365,1,0
MARAICHERS,2903399,2013,4779337.536585365,1,0
BILLANCOURT,2838189,2013,4779337.536585365,1,0
JAVEL-ANDRE CITROEN,2565099,2013,4779337.536585365,1,0
MAISONS-ALFORT-STADE,1689344,2013,4779337.536585365,1,0
NATION-RER,3902059,2013,4779337.536585365,0,1
VARENNE,1538258,2013,4779337.536585365,1,0
SCEAUX,680371,2013,4779337.536585365,0,1
CHEVALERET,3058367,2013,4779337.536585365,1,0
FELIX FAURE,1895590,2013,4779337.536585365,1,0
BUTTES-CHAUMONT,507867,2013,4779337.536585365,1,0
OBERKAMPF,4167444,2013,4779337.536585365,1,0
EGLISE DE PANTIN,3693931,2013,4779337.536585365,1,0
SEVRES-LECOURBE,2408327,2013,4779337.536585365,1,0
CHATELET,13929657,2013,4779337.536585365,1,0
MIROMESNIL,5916541,2013,4779337.536585365,1,0
VOLTAIRE,5341865,2013,4779337.536585365,1,0
HOCHE,5046958,2013,4779337.536585365,1,0
GLACIERE,4933269,2013,4779337.536585365,1,0
COLONEL FABIEN,4808282,2013,4779337.536585365,1,0
PLAISANCE,4794268,2013,4779337.536585365,1,0
ECOLE MILITAIRE,4443503,2013,4779337.536585365,1,0
ALMA-MARCEAU,4060044,2013,4779337.536585365,1,0
CHATEAU D'EAU,4059164,2013,4779337.536585365,1,0
CHARONNE,4047046,2013,4779337.536585365,1,0
LOUISE MICHEL,3594105,2013,4779337.536585365,1,0
PORTE DE CHOISY,3085089,2013,4779337.536585365,1,0
TELEGRAPHE,2506008,2013,4779337.536585365,1,0
MICHEL BIZOT,2038450,2013,4779337.536585365,1,0
BOLIVAR,646310,2013,4779337.536585365,1,0
LES BACONNETS,1585110,2013,4779337.536585365,0,1
COURCELLE-SUR-YVETTE,554234,2013,4779337.536585365,0,1
PORTE DE VANVES,4464578,2013,4779337.536585365,1,0
LA MUETTE,4206204,2013,4779337.536585365,1,0
DUROC,3339347,2013,4779337.536585365,1,0
CORVISART,2622998,2013,4779337.536585365,1,0
LOUIS BLANC,2489483,2013,4779337.536585365,1,0
SAINT-FRANCOIS-XAVIER,1837976,2013,4779337.536585365,1,0
VANEAU,964320,2013,4779337.536585365,1,0
ROBINSON,2167299,2013,4779337.536585365,0,1
LE VESINET-CENTRE,1201471,2013,4779337.536585365,0,1
BASILIQUE DE SAINT-DENIS,5393138,2013,4779337.536585365,1,0
LEDRU-ROLLIN,3917141,2013,4779337.536585365,1,0
LES GOBELINS,3835783,2013,4779337.536585365,1,0
MAISON BLANCHE,2122847,2013,4779337.536585365,1,0
BUZENVAL,1914564,2013,4779337.536585365,1,0
AUBER,6248528,2013,4779337.536585365,0,1
PORTE MAILLOT,8998134,2013,4779337.536585365,1,0
LA COURNEUVE-8 MAI 1945,5536146,2013,4779337.536585365,1,0
PORTE DE SAINT-CLOUD,5284078,2013,4779337.536585365,1,0
PORTE DAUPHINE,2890496,2013,4779337.536585365,1,0
MALESHERBES,2623165,2013,4779337.536585365,1,0
SAINT-SULPICE,2551607,2013,4779337.536585365,1,0
CLUNY LA SORBONNE,2509657,2013,4779337.536585365,1,0
MICHEL-ANGE-MOLITOR,2097256,2013,4779337.536585365,1,0
AVENUE EMILE ZOLA,1476223,2013,4779337.536585365,1,0
FALGUIERE,930847,2013,4779337.536585365,1,0
BUSSY-SAINT-GEORGES,2847540,2013,4779337.536585365,0,1
BASTILLE,13706765,2013,4779337.536585365,1,0
BELLEVILLE,11558246,2013,4779337.536585365,1,0
PORTE DE CLICHY,4021254,2013,4779337.536585365,1,0
FUNICULAIRE,3152786,2013,4779337.536585365,1,0
GARE DE LYON,34895701,2013,4779337.536585365,1,0
PALAISEAU-VILLEBON,837916,2013,4779337.536585365,0,1
FRANKLIN D. ROOSEVELT,11890240,2013,4779337.536585365,1,0
PORTE DE MONTREUIL,4862314,2013,4779337.536585365,1,0
