Station,code_station
ABBESSES,0
ALESIA,1
ALEXANDRE DUMAS,2
ALMA-MARCEAU,3
ANATOLE FRANCE,4
ANTONY,5
ANVERS,6
ARCUEIL-CACHAN,7
ARGENTINE,8
ARTS ET METIERS,9
ASSEMBLEE NATIONALE,10
AUBER,11
AUBERVILLIERS-PANTIN-QUATRE CHEMINS,12
AVENUE EMILE ZOLA,13
AVRON,14
BAGNEUX,15
BALARD,16
BARBES-ROCHECHOUART,17
BASILIQUE DE SAINT-DENIS,18
BASTILLE,19
BEL AIR,20
BELLEVILLE,21
BERAULT,22
BERCY,23
BIBLIOTHEQUE,24
BILLANCOURT,25
BIR-HAKEIM,26
BLANCHE,27
BOBIGNY-PABLO PICASSO,28
BOBIGNY-PANTIN-RAYMOND QUENEAU,29
BOISSIERE,30
BOISSY-SAINT-LEGER,31
BOLIVAR,32
BONNE NOUVELLE,33
BOTZARIS,34
BOUCICAUT,35
BOULOGNE-JEAN JAURES,36
BOULOGNE-PONT DE SAINT-CLOUD,37
BOURG-LA-REINE,38
BOURSE,39
BREGUET-SABIN,40
BROCHANT,41
BRY-SUR-MARNE,42
BURES-SUR-YVETTE,43
BUSSY-SAINT-GEORGES,44
BUTTES-CHAUMONT,45
BUZENVAL,46
CADET,47
CAMBRONNE,48
CAMPO-FORMIO,49
CARDINAL LEMOINE,50
CARREFOUR PLEYEL,51
CENSIER-DAUBENTON,52
CHAMPIGNY,53
CHAMPS-ELYSEES-CLEMENCEAU,54
CHARDON-LAGACHE,55
CHARENTON-ECOLES,56
CHARLES DE GAULLE-ETOILE,57
CHARLES DE GAULLE-ETOILE-RER,58
CHARLES MICHELS,59
CHARONNE,60
CHATEAU D'EAU,61
CHATEAU DE VINCENNES,62
CHATEAU ROUGE,63
CHATEAU-LANDON,64
CHATELET,65
CHATELET-LES HALLES-RER,66
CHATILLON-MONTROUGE,67
CHATOU-CROISSY,68
CHAUSSEE D'ANTIN-LA FAYETTE,69
CHEMIN VERT,70
CHEVALERET,71
CITE,72
CITE UNIVERSITAIRE,73
CLICHY SAINT-OUEN,74
CLUNY LA SORBONNE,75
COLONEL FABIEN,76
COMMERCE,77
CONCORDE,78
CONVENTION,79
CORENTIN CARIOU,80
CORENTIN CELTON,81
CORVISART,82
COUR SAINT-EMILION,83
COURCELLE-SUR-YVETTE,84
COURCELLES,85
COURONNES,86
CRETEIL-L'ECHAT,87
CRETEIL-POINTE DU LAC,88
CRETEIL-PREFECTURE,89
CRETEIL-UNIVERSITE,90
CRIMEE,91
CROIX DE CHAVAUX,92
DANUBE,93
DAUMESNIL,94
DENFERT-ROCHEREAU,95
DENFERT-ROCHEREAU-RER,96
DUGOMMIER,97
DUPLEIX,98
DUROC,99
ECOLE MILITAIRE,100
ECOLE VETERINAIRE DE MAISONS-ALFORT,101
EDGAR QUINET,102
EGLISE D'AUTEUIL,103
EGLISE DE PANTIN,104
ESPLANADE DE LA DEFENSE,105
ETIENNE MARCEL,106
EUROPE,107
EXELMANS,108
FAIDHERBE-CHALIGNY,109
FALGUIERE,110
FELIX FAURE,111
FILLES DU CALVAIRE,112
FONTAINE-MICHALON,113
FONTENAY-AUX-ROSES,114
FONTENAY-SOUS-BOIS,115
FORT D'AUBERVILLIERS,116
FRANKLIN D. ROOSEVELT,117
FRONT POPULAIRE,118
FUNICULAIRE,119
GABRIEL PERI,120
GAITE,121
GALLIENI,122
GAMBETTA,123
GARE D'AUSTERLITZ,124
GARE DE L'EST,125
GARE DE LYON,126
GARE DE LYON-RER,127
GARE DU NORD,128
GARE DU NORD-RER,129
GARIBALDI,130
GENTILLY,131
GEORGE V,132
GIF-SUR-YVETTE,133
GLACIERE,134
GONCOURT,135
GRANDS BOULEVARDS,136
GUY MOQUET,137
HAVRE-CAUMARTIN,138
HOCHE,139
HOTEL DE VILLE,140
IENA,141
INVALIDES,142
JACQUES BONSERGENT,143
JASMIN,144
JAURES,145
JAVEL-ANDRE CITROEN,146
JOINVILLE-LE-PONT,147
JOURDAIN,148
JULES JOFFRIN,149
JUSSIEU,150
KLEBER,151
LA CHAPELLE,152
LA COURNEUVE-8 MAI 1945,153
LA CROIX DE BERNY,154
LA DEFENSE,155
LA DEFENSE-RER,156
LA FOURCHE,157
LA HACQUINIERE,158
LA MOTTE-PICQUET-GRENELLE,159
LA MUETTE,160
LA TOUR-MAUBOURG,161
LA VARENNE-CHENNEVIERES,162
LAMARCK-CAULAINCOURT,163
LAPLACE,164
LAUMIERE,165
LE GUICHET,166
LE KREMLIN-BICETRE,167
LE PARC DE SAINT-MAUR,168
LE PELETIER,169
LE VESINET-CENTRE,170
LE VESINET-LE PECQ,171
LEDRU-ROLLIN,172
LES AGNETTES,173
LES BACONNETS,174
LES COURTILLES,175
LES GOBELINS,176
LES HALLES,177
LES SABLONS,178
LIBERTE,179
LIEGE,180
LOGNES,181
LOUIS BLANC,182
LOUISE MICHEL,183
LOURMEL,184
LOUVRE,185
LOZERE,186
LUXEMBOURG,187
MABILLON,188
MADELEINE,189
MAIRIE D'ISSY,190
MAIRIE D'IVRY,191
MAIRIE DE CLICHY,192
MAIRIE DE MONTREUIL,193
MAIRIE DE MONTROUGE,194
MAIRIE DE MONTROUGE**,195
MAIRIE DE SAINT-OUEN,196
MAIRIE DES LILAS,197
MAISON BLANCHE,198
MAISONS-ALFORT-LES JUILLIOTTES,199
MAISONS-ALFORT-STADE,200
MALAKOFF-PLATEAU DE VANVES,201
MALAKOFF-RUE ETIENNE DOLET,202
MALESHERBES,203
MARAICHERS,204
MARCADET-POISSONNIERS,205
MARCEL SEMBAT,206
MARNE-LA-VALLEE-CHESSY,207
MARX DORMOY,208
MASSY-PALAISEAU,209
MASSY-VERRIERES,210
MAUBERT-MUTUALITE,211
MENILMONTANT,212
MICHEL BIZOT,213
MICHEL-ANGE-AUTEUIL,214
MICHEL-ANGE-MOLITOR,215
MIRABEAU,216
MIROMESNIL,217
MONCEAU,218
MONTGALLET,219
MONTPARNASSE-BIENVENUE,220
MOUTON-DUVERNET,221
NANTERRE-PREFECTURE,222
NANTERRE-UNIVERSITE,223
NANTERRE-VILLE,224
NATION,225
NATION-RER,226
NATIONALE,227
NEUILLY-PLAISANCE,228
NOGENT-SUR-MARNE,229
NOISIEL,230
NOISY-CHAMPS,231
NOISY-LE-GRAND-MONT D'EST,232
NOTRE-DAME-DE-LORETTE,233
NOTRE-DAME-DES-CHAMPS,234
OBERKAMPF,235
ODEON,236
OLYMPIADES,237
OPERA,238
ORSAY-VILLE,239
OURCQ,240
PALAIS-ROYAL,241
PALAISEAU,242
PALAISEAU-VILLEBON,243
PARC DE SCEAUX,244
PARMENTIER,245
PASSY,246
PASTEUR,247
PELLEPORT,248
PERE LACHAISE,249
PEREIRE,250
PERNETY,251
PHILIPPE AUGUSTE,252
PICPUS,253
PIERRE CURIE,254
PIGALLE,255
PLACE CLICHY,256
PLACE D'ITALIE,257
PLACE DES FETES,258
PLACE MONGE,259
PLAISANCE,260
POISSONNIERE,261
PONT CARDINET,262
PONT DE LEVALLOIS-BECON,263
PONT DE NEUILLY,264
PONT DE SEVRES,265
PONT MARIE,266
PONT NEUF,267
PORT ROYAL,268
PORTE D'AUTEUIL,269
PORTE D'ITALIE,270
PORTE D'IVRY,271
PORTE D'ORLEANS,272
PORTE DAUPHINE,273
PORTE DE BAGNOLET,274
PORTE DE CHAMPERRET,275
PORTE DE CHARENTON,276
PORTE DE CHOISY,277
PORTE DE CLICHY,278
PORTE DE CLIGNANCOURT,279
PORTE DE LA CHAPELLE,280
PORTE DE LA VILLETTE,281
PORTE DE MONTREUIL,282
PORTE DE PANTIN,283
PORTE DE SAINT-CLOUD,284
PORTE DE SAINT-OUEN,285
PORTE DE VANVES,286
PORTE DE VERSAILLES,287
PORTE DE VINCENNES,288
PORTE DES LILAS,289
PORTE DOREE,290
PORTE MAILLOT,291
PRE-SAINT-GERVAIS,292
PYRAMIDES,293
PYRENEES,294
QUAI DE LA GARE,295
QUAI DE LA RAPEE,296
QUATRE-SEPTEMBRE,297
RAMBUTEAU,298
RANELAGH,299
RASPAIL,300
REAUMUR-SEBASTOPOL,301
RENNES,302
REPUBLIQUE,303
REUILLY-DIDEROT,304
RICHARD LENOIR,305
RICHELIEU-DROUOT,306
RIQUET,307
ROBESPIERRE,308
ROBINSON,309
ROME,310
RUE DE LA POMPE,311
RUE DES BOULETS,312
RUE DU BAC,313
RUEIL-MALMAISON,314
SAINT-AMBROISE,315
SAINT-AUGUSTIN,316
SAINT-DENIS-PORTE DE PARIS,317
SAINT-DENIS-UNIVERSITE,318
SAINT-FARGEAU,319
SAINT-FRANCOIS-XAVIER,320
SAINT-GEORGES,321
SAINT-GERMAIN DES PRES,322
SAINT-GERMAIN-EN-LAYE,323
SAINT-JACQUES,324
SAINT-LAZARE,325
SAINT-MANDE-TOURELLE,326
SAINT-MARCEL,327
SAINT-MAUR,328
SAINT-MAUR-CRETEIL,329
SAINT-MICHEL,330
SAINT-MICHEL-NOTRE-DAME,331
SAINT-PAUL,332
SAINT-PHILIPPE-DU-ROULE,333
SAINT-PLACIDE,334
SAINT-REMY-LES-CHEVREUSE,335
SAINT-SEBASTIEN-FROISSART,336
SAINT-SULPICE,337
SCEAUX,338
SEGUR,339
SENTIER,340
SEVRES-BABYLONE,341
SEVRES-LECOURBE,342
SIMPLON,343
SOLFERINO,344
STALINGRAD,345
STRASBOURG-SAINT-DENIS,346
SUCY-BONNEUIL,347
SULLY-MORLAND,348
TELEGRAPHE,349
TEMPLE,350
TERNES,351
TOLBIAC,352
TORCY,353
TRINITE-D'ESTIENNE D'ORVES,354
TROCADERO,355
TUILERIES,356
VAL D'EUROPE,357
VAL DE FONTENAY,358
VANEAU,359
VARENNE,360
VAUGIRARD,361
VAVIN,362
VICTOR HUGO,363
VILLEJUIF-LEO LAGRANGE,364
VILLEJUIF-LOUIS ARAGON,365
VILLEJUIF-PAUL VAILLANT-COUTURIER,366
VILLIERS,367
VINCENNES,368
VOLONTAIRES,369
VOLTAIRE,370
WAGRAM,371
