Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
18;Métro;STRASBOURG-SAINT-DENIS;9967686;4;8;9;;;Paris;2
5;Métro;GARE DE L'EST;20284835;4;5;7;;;Paris;10
44;Métro;PORTE D'ORLEANS;6848088;4;;;;;Paris;14
59;Métro;CHATILLON-MONTROUGE;6109396;13;;;;;Chatillon;
45;Métro;PONT DE NEUILLY;6823045;1;;;;;Neuilly Sur Seine;
69;Métro;LES SABLONS;5500065;1;;;;;Neuilly Sur Seine;
104;Métro;MENILMONTANT;4472755;2;;;;;Paris;
71;Métro;SEVRES-BABYLONE;5387363;10;12;;;;Paris;
106;Métro;SAINT-GERMAIN DES PRES;4443897;4;;;;;Paris;6
107;Métro;RAMBUTEAU;4429945;11;;;;;Paris;
108;Métro;MAIRIE D'ISSY;4413172;12;;;;;Issy Les Moulineaux;
114;Métro;BLANCHE;4278243;2;;;;;Paris;9
113;Métro;BALARD;4287048;8;;;;;Paris;15
117;Métro;JUSSIEU;4174050;7;10;;;;Paris;5
120;Métro;PORTE DE CLICHY;4094794;13;;;;;Paris;17
125;Métro;VAUGIRARD;3850737;12;;;;;Paris;15
164;Métro;GARIBALDI;3197736;13;;;;;Saint Ouen;
159;Métro;DUPLEIX;3347548;6;;;;;Paris;15
205;Métro;DUGOMMIER;2640369;6;;;;;Paris;12
169;Métro;CORENTIN CARIOU;3115884;7;;;;;Paris;19
206;Métro;LIBERTE;2635279;8;;;;;Charenton;
171;Métro;BOUCICAUT;3106974;8;;;;;Paris;15
217;Métro;SAINT-SULPICE;2532665;4;;;;;Paris;6
179;Métro;COURONNES;3006923;2;;;;;Paris;11
47;RER;BRY-SUR-MARNE;2021786;A;;;;;Bry-sur-Marne;
199;Métro;LA FOURCHE;2816140;13;;;;;Paris;8
49;RER;LA VARENNE-CHENNEVIERES;1871804;A;;;;;saint-Maur des Fossés;
225;Métro;PORTE D'ITALIE;2432555;7;;;;;Paris;13
1;Métro;GARE DU NORD;51316194;4;5;;;;Paris;10
272;Métro;CARDINAL LEMOINE;1713765;10;;;;;Paris;5
4;Métro;MONTPARNASSE-BIENVENUE;31553833;4;6;12;13;;Paris;14
274;Métro;MONCEAU;1662955;2;;;;;Paris;17
65;Métro;REUILLY-DIDEROT;5808594;1;8;;;;Paris;12
277;Métro;EUROPE;1585380;3;;;;;Paris;8
76;Métro;PORTE DE SAINT-CLOUD;5291193;9;;;;;Paris;16
287;Métro;RENNES;1272544;12;;;;;Paris;6
178;Métro;SAINT-DENIS-PORTE DE PARIS;3041907;13;;;;;Saint Denis;
16;RER;LUXEMBOURG;5441398;B;;;;;Paris;5
192;Métro;PORTE DAUPHINE;2894665;2;;;;;Paris;16
23;RER;NATION-RER;4120752;A;;;;;Paris;12
196;Métro;BERAULT;2858413;1;;;;;Vincennes;
46;RER;BAGNEUX;2034790;B;;;;;Cachan;
207;Métro;NATIONALE;2614523;6;;;;;Paris;13
57;RER;LE GUICHET;856871;B;;;;;Orsay;
230;Métro;RANELAGH;2383384;9;;;;;Paris;16
96;Métro;MAIRIE DES LILAS;4681803;11;;;;;Les Lilas;
231;Métro;CITE;2326158;4;;;;;Paris;4
102;Métro;COLONEL FABIEN;4575858;2;;;;;Paris;10
268;Métro;SAINT-FRANCOIS-XAVIER;1797081;13;;;;;Paris;7
109;Métro;PORTE DE VANVES;4410283;13;;;;;Paris;14
3;RER;LA DEFENSE-RER;30059436;A;;;;;Puteaux;
115;Métro;ALMA-MARCEAU;4272042;9;;;;;Paris;8
30;RER;CHAMPIGNY;3432922;A;;;;;Saint-Maur des Fossés;
118;Métro;LES COURTILLES;4126878;13;;;;;Asnières sur Seine;
8;Métro;BIBLIOTHEQUE;15840239;14;;;;;Paris;13
158;Métro;QUAI DE LA GARE;3366405;6;;;;;Paris;13
29;Métro;HAVRE-CAUMARTIN;7661183;3;9;;;;Paris;9
185;Métro;PLACE MONGE;2973319;7;;;;;Paris;
48;Métro;SAINT-PAUL;6591103;1;;;;;Paris;4
224;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2438115;5;;;;;Pantin;
57;Métro;GALLIENI;6196476;3;;;;;Bagnolet;
252;Métro;SEVRES-LECOURBE;1992343;6;;;;;Paris;15
94;Métro;PEREIRE;4711045;3;;;;;Paris;17
257;Métro;MABILLON;1892987;10;;;;;Paris;6
97;Métro;CRETEIL-PREFECTURE;4674246;8;;;;;Créteil;
276;Métro;CHATEAU-LANDON;1629996;7;;;;;Paris;10
136;Métro;FORT D'AUBERVILLIERS;3694272;7;;;;;Aubervilliers;
32;RER;LAPLACE;3224399;B;;;;;Arcueil;
183;Métro;CARREFOUR PLEYEL;2987091;13;;;;;Saint Denis;
38;RER;FONTENAY-SOUS-BOIS;2469377;A;;;;;Fontenay-sous-Bois;
232;Métro;VAVIN;2308243;4;;;;;Paris;14
56;RER;PALAISEAU-VILLEBON;856892;B;;;;;Palaiseau;
292;Métro;BOTZARIS;996326;7bis;;;;;Paris;19
39;Métro;STALINGRAD;7089762;2;5;7;;;Paris;19
299;Métro;BOLIVAR;581422;7bis;;;;;Paris;19
78;Métro;SAINT-DENIS-UNIVERSITE;5261145;13;;;;;Saint Denis;
10;RER;NOISY-LE-GRAND-MONT D'EST;7098238;A;;;;;Noisy-le-Grand;
88;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4910801;1;13;;;;Paris;8
65;RER;PARC DE SCEAUX;534550;B;;;;;Antony;
100;Métro;GUY MOQUET;4602495;13;;;;;Paris;17
2;Métro;SAINT-LAZARE;44936936;3;9;12;13;14;Paris;8
111;Métro;LE KREMLIN-BICETRE;4360175;7;;;;;Kremlin-Bicêtre;
28;Métro;LA MOTTE-PICQUET-GRENELLE;8248998;6;8;10;;;Paris;15
130;Métro;MAIRIE DE SAINT-OUEN;3819193;13;;;;;Saint Ouen;
67;Métro;LA COURNEUVE-8 MAI 1945;5665476;7;;;;;La Courneuve;
151;Métro;JOURDAIN;3474999;11;;;;;Paris;20
73;Métro;BERCY;5359847;6;14;;;;Paris;
154;Métro;CORENTIN CELTON;3447242;12;;;;;Issy Les Moulineaux;
74;Métro;MAIRIE DE MONTROUGE;5346471;4;;;;;Montrouge;
193;Métro;ROME;2892744;2;;;;;Paris;17
77;Métro;GABRIEL PERI;5278348;13;;;;;Asnières;
208;Métro;VOLONTAIRES;2610342;12;;;;;Paris;15
124;Métro;VICTOR HUGO;3870906;2;;;;;Paris;16
214;Métro;VILLEJUIF-LEO LAGRANGE;2545252;7;;;;;Villejuif;
127;Métro;ARTS ET METIERS;3836852;3;11;;;;Paris;3
226;Métro;LOURMEL;2424840;8;;;;;Paris;15
150;Métro;SENTIER;3484652;3;;;;;Paris;3
284;Métro;PICPUS;1346859;6;;;;;Paris;12
174;Métro;PORTE DE CHOISY;3088532;7;;;;;Paris;13
21;Métro;NATION;9333662;1;2;6;9;;Paris;12
200;Métro;MARAICHERS;2807675;9;;;;;Paris;20
26;Métro;SAINT-MICHEL;8695006;4;;;;;Paris;5
